
Training on cuda | logs -> training_logs/run_seed41_config9_fresh_20260513_200943
Config: ..\..\configs\config9.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode   108 | Steps:    3676 | Reward:  -3.003 | Avg(100):  -0.035 | Entropy: 0.0971 | Acc: 10.5% (4+ 34-) | Lifetime: 20.6%
Episode   109 | Steps:    3705 | Reward:   0.298 | Avg(100):  -0.001 | Entropy: 0.0971 | Acc: 20.7% (6+ 23-) | Lifetime: 20.6%
Episode   110 | Steps:    3740 | Reward:  -1.304 | Avg(100):  -0.023 | Entropy: 0.0970 | Acc: 17.1% (6+ 29-) | Lifetime: 20.5%
Episode   111 | Steps:    3763 | Reward:   3.898 | Avg(100):   0.042 | Entropy: 0.0970 | Acc: 34.8% (8+ 15-) | Lifetime: 20.6%
Episode   112 | Steps:    3785 | Reward:   2.198 | Avg(100):   0.081 | Entropy: 0.0970 | Acc: 31.8% (7+ 15-) | Lifetime: 20.7%
Episode   113 | Steps:    3822 | Reward:  -2.203 | Avg(100):   0.049 | Entropy: 0.0970 | Acc: 16.2% (6+ 31-) | Lifetime: 20.6%
Episode   114 | Steps:    3850 | Reward:   0.498 | Avg(100):   0.034 | Entropy: 0.0969 | Acc: 17.9% (5+ 23-) | Lifetime: 20.6%
Episode   115 | Steps:    3876 | Reward:   2.797 | Avg(100):   0.066 | Entropy: 0.0969 | Acc: 34.6% (9+ 17-) | Lifetime: 20.7%
Episode   116 | Steps:    3902 | Reward:   1.899 | Avg(100):   0.101 | Entropy: 0.0969 | Acc: 34.6% (9+ 17-) | Lifetime: 20.8%
Episode   117 | Steps:    3931 | Reward:   1.397 | Avg(100):   0.140 | Entropy: 0.0969 | Acc: 20.7% (6+ 23-) | Lifetime: 20.8%
Episode   118 | Steps:    3965 | Reward:  -1.002 | Avg(100):   0.133 | Entropy: 0.0969 | Acc: 20.6% (7+ 27-) | Lifetime: 20.8%
