
Training on cuda | logs -> training_logs/run_seed43_config10 (3)_resumed_20260522_214033
Config: ..\..\configs\config10 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    87 | Steps:    2994 | Reward:   0.799 | Avg(100):  -0.527 | Entropy: 0.0985 | Acc: 20.0% (6+ 24-) | Lifetime: 20.5%
  [Step 3000] Action dist: A0:18% | A1:13% | A2:22% | A3:19% | A4:28%
Episode    88 | Steps:    3027 | Reward:  -1.103 | Avg(100):  -0.533 | Entropy: 0.0985 | Acc: 12.1% (4+ 29-) | Lifetime: 20.4%
Episode    89 | Steps:    3064 | Reward:  -1.803 | Avg(100):  -0.548 | Entropy: 0.0985 | Acc: 13.5% (5+ 32-) | Lifetime: 20.3%
Episode    90 | Steps:    3088 | Reward:   2.999 | Avg(100):  -0.509 | Entropy: 0.0984 | Acc: 33.3% (8+ 16-) | Lifetime: 20.4%
Episode    91 | Steps:    3125 | Reward:   0.096 | Avg(100):  -0.502 | Entropy: 0.0984 | Acc: 16.2% (6+ 31-) | Lifetime: 20.4%
Episode    92 | Steps:    3150 | Reward:   2.199 | Avg(100):  -0.473 | Entropy: 0.0984 | Acc: 36.0% (9+ 16-) | Lifetime: 20.5%
Episode    93 | Steps:    3189 | Reward:   0.998 | Avg(100):  -0.457 | Entropy: 0.0984 | Acc: 20.5% (8+ 31-) | Lifetime: 20.5%
Episode    94 | Steps:    3212 | Reward:   4.399 | Avg(100):  -0.406 | Entropy: 0.0984 | Acc: 39.1% (9+ 14-) | Lifetime: 20.6%
Episode    95 | Steps:    3239 | Reward:   0.599 | Avg(100):  -0.396 | Entropy: 0.0984 | Acc: 29.6% (8+ 19-) | Lifetime: 20.7%
Episode    96 | Steps:    3256 | Reward:   4.802 | Avg(100):  -0.342 | Entropy: 0.0984 | Acc: 58.8% (10+ 7-) | Lifetime: 20.9%
Episode    97 | Steps:    3285 | Reward:   2.698 | Avg(100):  -0.311 | Entropy: 0.0984 | Acc: 31.0% (9+ 20-) | Lifetime: 21.0%
Episode    98 | Steps:    3315 | Reward:   1.497 | Avg(100):  -0.293 | Entropy: 0.0984 | Acc: 23.3% (7+ 23-) | Lifetime: 21.0%
Episode    99 | Steps:    3328 | Reward:  -0.101 | Avg(100):  -0.291 | Entropy: 0.0982 | Acc: 23.1% (3+ 10-) | Lifetime: 21.0%
Episode   100 | Steps:    3364 | Reward:  -2.302 | Avg(100):  -0.278 | Entropy: 0.0982 | Acc: 13.9% (5+ 31-) | Lifetime: 21.0%
Episode   101 | Steps:    3398 | Reward:  -0.103 | Avg(100):  -0.270 | Entropy: 0.0982 | Acc: 23.5% (8+ 26-) | Lifetime: 21.0%
Episode   102 | Steps:    3431 | Reward:  -1.001 | Avg(100):  -0.321 | Entropy: 0.0982 | Acc: 24.2% (8+ 25-) | Lifetime: 21.0%
Episode   103 | Steps:    3464 | Reward:  -1.003 | Avg(100):  -0.323 | Entropy: 0.0982 | Acc: 15.2% (5+ 28-) | Lifetime: 21.0%
Episode   104 | Steps:    3487 | Reward:   2.200 | Avg(100):  -0.270 | Entropy: 0.0982 | Acc: 43.5% (10+ 13-) | Lifetime: 21.1%
  [Step 3500] Action dist: A0:16% | A1:13% | A2:22% | A3:21% | A4:27%
Episode   105 | Steps:    3512 | Reward:   2.398 | Avg(100):  -0.214 | Entropy: 0.0982 | Acc: 32.0% (8+ 17-) | Lifetime: 21.2%
Episode   106 | Steps:    3550 | Reward:  -1.003 | Avg(100):  -0.202 | Entropy: 0.0982 | Acc: 15.8% (6+ 32-) | Lifetime: 21.1%
Episode   107 | Steps:    3572 | Reward:   4.000 | Avg(100):  -0.163 | Entropy: 0.0982 | Acc: 40.9% (9+ 13-) | Lifetime: 21.2%
Episode   108 | Steps:    3609 | Reward:   1.597 | Avg(100):  -0.166 | Entropy: 0.0981 | Acc: 24.3% (9+ 28-) | Lifetime: 21.3%
Episode   109 | Steps:    3642 | Reward:  -3.601 | Avg(100):  -0.193 | Entropy: 0.0981 | Acc: 15.2% (5+ 28-) | Lifetime: 21.2%
Episode   110 | Steps:    3675 | Reward:  -0.903 | Avg(100):  -0.185 | Entropy: 0.0981 | Acc: 15.2% (5+ 28-) | Lifetime: 21.2%
Episode   111 | Steps:    3693 | Reward:   2.600 | Avg(100):  -0.169 | Entropy: 0.0981 | Acc: 44.4% (8+ 10-) | Lifetime: 21.3%
Episode   112 | Steps:    3719 | Reward:   1.598 | Avg(100):  -0.166 | Entropy: 0.0981 | Acc: 26.9% (7+ 19-) | Lifetime: 21.3%
Episode   113 | Steps:    3747 | Reward:   0.399 | Avg(100):  -0.154 | Entropy: 0.0981 | Acc: 25.0% (7+ 21-) | Lifetime: 21.3%
Episode   114 | Steps:    3780 | Reward:  -0.802 | Avg(100):  -0.175 | Entropy: 0.0981 | Acc: 21.2% (7+ 26-) | Lifetime: 21.3%
Episode   115 | Steps:    3813 | Reward:   1.097 | Avg(100):  -0.174 | Entropy: 0.0981 | Acc: 21.2% (7+ 26-) | Lifetime: 21.3%
Episode   116 | Steps:    3827 | Reward:   4.302 | Avg(100):  -0.143 | Entropy: 0.0981 | Acc: 71.4% (10+ 4-) | Lifetime: 21.5%
Episode   117 | Steps:    3856 | Reward:   1.997 | Avg(100):  -0.070 | Entropy: 0.0980 | Acc: 24.1% (7+ 22-) | Lifetime: 21.5%
Episode   118 | Steps:    3891 | Reward:  -0.703 | Avg(100):  -0.082 | Entropy: 0.0980 | Acc: 14.3% (5+ 30-) | Lifetime: 21.5%
Episode   119 | Steps:    3920 | Reward:   0.300 | Avg(100):  -0.086 | Entropy: 0.0980 | Acc: 27.6% (8+ 21-) | Lifetime: 21.5%
Episode   120 | Steps:    3950 | Reward:   1.598 | Avg(100):  -0.044 | Entropy: 0.0980 | Acc: 23.3% (7+ 23-) | Lifetime: 21.5%
Episode   121 | Steps:    3979 | Reward:   2.798 | Avg(100):  -0.003 | Entropy: 0.0980 | Acc: 27.6% (8+ 21-) | Lifetime: 21.6%
Episode   122 | Steps:    3998 | Reward:   3.699 | Avg(100):   0.021 | Entropy: 0.0980 | Acc: 42.1% (8+ 11-) | Lifetime: 21.7%
  [Step 4000] Action dist: A0:15% | A1:10% | A2:27% | A3:22% | A4:27%
Episode   123 | Steps:    4020 | Reward:   4.898 | Avg(100):   0.096 | Entropy: 0.0980 | Acc: 36.4% (8+ 14-) | Lifetime: 21.8%
Episode   124 | Steps:    4047 | Reward:   1.599 | Avg(100):   0.137 | Entropy: 0.0980 | Acc: 29.6% (8+ 19-) | Lifetime: 21.8%
Episode   125 | Steps:    4073 | Reward:   1.598 | Avg(100):   0.153 | Entropy: 0.0980 | Acc: 26.9% (7+ 19-) | Lifetime: 21.8%
Episode   126 | Steps:    4106 | Reward:  -2.199 | Avg(100):   0.163 | Entropy: 0.0978 | Acc: 21.2% (7+ 26-) | Lifetime: 21.8%
Episode   127 | Steps:    4133 | Reward:   0.397 | Avg(100):   0.186 | Entropy: 0.0978 | Acc: 25.9% (7+ 20-) | Lifetime: 21.9%
Episode   128 | Steps:    4169 | Reward:  -2.603 | Avg(100):   0.163 | Entropy: 0.0978 | Acc: 11.1% (4+ 32-) | Lifetime: 21.8%
Episode   129 | Steps:    4204 | Reward:  -1.203 | Avg(100):   0.133 | Entropy: 0.0978 | Acc: 17.1% (6+ 29-) | Lifetime: 21.7%
Episode   130 | Steps:    4236 | Reward:   1.497 | Avg(100):   0.167 | Entropy: 0.0978 | Acc: 25.0% (8+ 24-) | Lifetime: 21.8%
Episode   131 | Steps:    4264 | Reward:   0.199 | Avg(100):   0.190 | Entropy: 0.0978 | Acc: 25.0% (7+ 21-) | Lifetime: 21.8%
Episode   132 | Steps:    4281 | Reward:   3.399 | Avg(100):   0.225 | Entropy: 0.0978 | Acc: 47.1% (8+ 9-) | Lifetime: 21.9%
Episode   133 | Steps:    4303 | Reward:   0.700 | Avg(100):   0.239 | Entropy: 0.0978 | Acc: 31.8% (7+ 15-) | Lifetime: 21.9%
Episode   134 | Steps:    4335 | Reward:  -1.102 | Avg(100):   0.247 | Entropy: 0.0978 | Acc: 18.8% (6+ 26-) | Lifetime: 21.9%
Episode   135 | Steps:    4364 | Reward:   1.497 | Avg(100):   0.253 | Entropy: 0.0977 | Acc: 24.1% (7+ 22-) | Lifetime: 21.9%
Episode   136 | Steps:    4396 | Reward:  -1.402 | Avg(100):   0.199 | Entropy: 0.0977 | Acc: 18.8% (6+ 26-) | Lifetime: 21.9%
Episode   137 | Steps:    4428 | Reward:   0.797 | Avg(100):   0.184 | Entropy: 0.0977 | Acc: 21.9% (7+ 25-) | Lifetime: 21.9%
Episode   138 | Steps:    4436 | Reward:   0.799 | Avg(100):   0.187 | Entropy: 0.0977 | Acc: 25.0% (2+ 6-) | Lifetime: 21.9%
Episode   139 | Steps:    4466 | Reward:  -0.901 | Avg(100):   0.218 | Entropy: 0.0977 | Acc: 23.3% (7+ 23-) | Lifetime: 21.9%
  [Step 4500] Action dist: A0:13% | A1:12% | A2:29% | A3:23% | A4:23%
Episode   140 | Steps:    4501 | Reward:  -0.903 | Avg(100):   0.253 | Entropy: 0.0977 | Acc: 17.1% (6+ 29-) | Lifetime: 21.9%
Episode   141 | Steps:    4526 | Reward:   1.399 | Avg(100):   0.257 | Entropy: 0.0977 | Acc: 28.0% (7+ 18-) | Lifetime: 21.9%
Episode   142 | Steps:    4549 | Reward:   1.998 | Avg(100):   0.307 | Entropy: 0.0977 | Acc: 34.8% (8+ 15-) | Lifetime: 22.0%
Episode   143 | Steps:    4581 | Reward:  -0.603 | Avg(100):   0.299 | Entropy: 0.0977 | Acc: 18.8% (6+ 26-) | Lifetime: 22.0%
Episode   144 | Steps:    4612 | Reward:   0.098 | Avg(100):   0.320 | Entropy: 0.0975 | Acc: 22.6% (7+ 24-) | Lifetime: 22.0%
Episode   145 | Steps:    4646 | Reward:   0.999 | Avg(100):   0.349 | Entropy: 0.0975 | Acc: 26.5% (9+ 25-) | Lifetime: 22.0%
Episode   146 | Steps:    4670 | Reward:   3.398 | Avg(100):   0.399 | Entropy: 0.0975 | Acc: 33.3% (8+ 16-) | Lifetime: 22.1%
Episode   147 | Steps:    4703 | Reward:  -1.903 | Avg(100):   0.424 | Entropy: 0.0975 | Acc: 9.1% (3+ 30-) | Lifetime: 22.0%
Episode   148 | Steps:    4716 | Reward:  -0.901 | Avg(100):   0.433 | Entropy: 0.0975 | Acc: 15.4% (2+ 11-) | Lifetime: 21.9%
Episode   149 | Steps:    4755 | Reward:  -1.704 | Avg(100):   0.418 | Entropy: 0.0975 | Acc: 15.4% (6+ 33-) | Lifetime: 21.9%
Episode   150 | Steps:    4779 | Reward:   1.199 | Avg(100):   0.436 | Entropy: 0.0975 | Acc: 33.3% (8+ 16-) | Lifetime: 21.9%
Episode   151 | Steps:    4804 | Reward:   1.398 | Avg(100):   0.474 | Entropy: 0.0975 | Acc: 32.0% (8+ 17-) | Lifetime: 22.0%
Episode   152 | Steps:    4833 | Reward:   0.198 | Avg(100):   0.483 | Entropy: 0.0975 | Acc: 24.1% (7+ 22-) | Lifetime: 22.0%
Episode   153 | Steps:    4867 | Reward:  -2.603 | Avg(100):   0.464 | Entropy: 0.0974 | Acc: 11.8% (4+ 30-) | Lifetime: 21.9%
Episode   154 | Steps:    4906 | Reward:  -1.404 | Avg(100):   0.461 | Entropy: 0.0974 | Acc: 12.8% (5+ 34-) | Lifetime: 21.9%
Episode   155 | Steps:    4936 | Reward:   1.397 | Avg(100):   0.463 | Entropy: 0.0974 | Acc: 20.0% (6+ 24-) | Lifetime: 21.9%
Episode   156 | Steps:    4978 | Reward:  -5.002 | Avg(100):   0.455 | Entropy: 0.0974 | Acc: 9.5% (4+ 38-) | Lifetime: 21.8%
  [Step 5000] Action dist: A0:12% | A1:11% | A2:29% | A3:21% | A4:26%
Episode   157 | Steps:    5016 | Reward:  -2.102 | Avg(100):   0.468 | Entropy: 0.0974 | Acc: 15.8% (6+ 32-) | Lifetime: 21.7%
Episode   158 | Steps:    5041 | Reward:   2.898 | Avg(100):   0.516 | Entropy: 0.0974 | Acc: 36.0% (9+ 16-) | Lifetime: 21.8%
Episode   159 | Steps:    5067 | Reward:   1.601 | Avg(100):   0.498 | Entropy: 0.0974 | Acc: 34.6% (9+ 17-) | Lifetime: 21.8%
