
Training on cuda | logs -> training_logs/run_seed41_config5_resumed_20260523_014050
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    98 | Steps:    3176 | Reward:   0.798 | Avg(100):   0.108 | Entropy: 0.0984 | Acc: 23.3% (7+ 23-) | Lifetime: 22.1%
Episode    99 | Steps:    3198 | Reward:   2.898 | Avg(100):   0.136 | Entropy: 0.0984 | Acc: 31.8% (7+ 15-) | Lifetime: 22.2%
Episode   100 | Steps:    3223 | Reward:   0.998 | Avg(100):   0.146 | Entropy: 0.0984 | Acc: 32.0% (8+ 17-) | Lifetime: 22.2%
Episode   101 | Steps:    3243 | Reward:  -0.400 | Avg(100):   0.163 | Entropy: 0.0984 | Acc: 30.0% (6+ 14-) | Lifetime: 22.3%
Episode   102 | Steps:    3281 | Reward:  -1.302 | Avg(100):   0.116 | Entropy: 0.0984 | Acc: 21.1% (8+ 30-) | Lifetime: 22.3%
Episode   103 | Steps:    3304 | Reward:   2.201 | Avg(100):   0.130 | Entropy: 0.0984 | Acc: 43.5% (10+ 13-) | Lifetime: 22.4%
Episode   104 | Steps:    3331 | Reward:   3.697 | Avg(100):   0.151 | Entropy: 0.0982 | Acc: 29.6% (8+ 19-) | Lifetime: 22.5%
Episode   105 | Steps:    3354 | Reward:   2.299 | Avg(100):   0.174 | Entropy: 0.0982 | Acc: 34.8% (8+ 15-) | Lifetime: 22.6%
Episode   106 | Steps:    3388 | Reward:   0.799 | Avg(100):   0.176 | Entropy: 0.0982 | Acc: 23.5% (8+ 26-) | Lifetime: 22.6%
Episode   107 | Steps:    3416 | Reward:  -0.401 | Avg(100):   0.165 | Entropy: 0.0982 | Acc: 21.4% (6+ 22-) | Lifetime: 22.6%
Episode   108 | Steps:    3448 | Reward:   2.797 | Avg(100):   0.197 | Entropy: 0.0982 | Acc: 25.0% (8+ 24-) | Lifetime: 22.6%
Episode   109 | Steps:    3484 | Reward:  -1.403 | Avg(100):   0.189 | Entropy: 0.0982 | Acc: 13.9% (5+ 31-) | Lifetime: 22.5%
  [Step 3500] Action dist: A0:12% | A1:16% | A2:35% | A3:25% | A4:11%
Episode   110 | Steps:    3513 | Reward:   0.197 | Avg(100):   0.192 | Entropy: 0.0982 | Acc: 20.7% (6+ 23-) | Lifetime: 22.5%
Episode   111 | Steps:    3540 | Reward:   0.197 | Avg(100):   0.197 | Entropy: 0.0982 | Acc: 18.5% (5+ 22-) | Lifetime: 22.5%
Episode   112 | Steps:    3570 | Reward:  -2.201 | Avg(100):   0.175 | Entropy: 0.0982 | Acc: 20.0% (6+ 24-) | Lifetime: 22.4%
Episode   113 | Steps:    3596 | Reward:   1.197 | Avg(100):   0.195 | Entropy: 0.0981 | Acc: 19.2% (5+ 21-) | Lifetime: 22.4%
Episode   114 | Steps:    3625 | Reward:   1.198 | Avg(100):   0.223 | Entropy: 0.0981 | Acc: 24.1% (7+ 22-) | Lifetime: 22.4%
Episode   115 | Steps:    3653 | Reward:   0.299 | Avg(100):   0.242 | Entropy: 0.0981 | Acc: 25.0% (7+ 21-) | Lifetime: 22.4%
Episode   116 | Steps:    3679 | Reward:   2.797 | Avg(100):   0.262 | Entropy: 0.0981 | Acc: 30.8% (8+ 18-) | Lifetime: 22.5%
Episode   117 | Steps:    3707 | Reward:   1.600 | Avg(100):   0.274 | Entropy: 0.0981 | Acc: 28.6% (8+ 20-) | Lifetime: 22.5%
Episode   118 | Steps:    3744 | Reward:   0.696 | Avg(100):   0.272 | Entropy: 0.0981 | Acc: 16.2% (6+ 31-) | Lifetime: 22.5%
Episode   119 | Steps:    3769 | Reward:   0.798 | Avg(100):   0.289 | Entropy: 0.0981 | Acc: 24.0% (6+ 19-) | Lifetime: 22.5%
Episode   120 | Steps:    3802 | Reward:  -1.601 | Avg(100):   0.261 | Entropy: 0.0981 | Acc: 18.2% (6+ 27-) | Lifetime: 22.5%
Episode   121 | Steps:    3838 | Reward:  -1.902 | Avg(100):   0.242 | Entropy: 0.0981 | Acc: 16.7% (6+ 30-) | Lifetime: 22.4%
Episode   122 | Steps:    3860 | Reward:   3.098 | Avg(100):   0.263 | Entropy: 0.0980 | Acc: 31.8% (7+ 15-) | Lifetime: 22.5%
Episode   123 | Steps:    3893 | Reward:  -0.103 | Avg(100):   0.228 | Entropy: 0.0980 | Acc: 18.2% (6+ 27-) | Lifetime: 22.4%
Episode   124 | Steps:    3925 | Reward:  -0.603 | Avg(100):   0.231 | Entropy: 0.0980 | Acc: 18.8% (6+ 26-) | Lifetime: 22.4%
Episode   125 | Steps:    3956 | Reward:   1.297 | Avg(100):   0.234 | Entropy: 0.0980 | Acc: 22.6% (7+ 24-) | Lifetime: 22.4%
Episode   126 | Steps:    3989 | Reward:  -2.402 | Avg(100):   0.211 | Entropy: 0.0980 | Acc: 12.1% (4+ 29-) | Lifetime: 22.3%
  [Step 4000] Action dist: A0:10% | A1:10% | A2:39% | A3:27% | A4:13%
Episode   127 | Steps:    4029 | Reward:   0.196 | Avg(100):   0.204 | Entropy: 0.0980 | Acc: 22.5% (9+ 31-) | Lifetime: 22.3%
Episode   128 | Steps:    4055 | Reward:   1.497 | Avg(100):   0.209 | Entropy: 0.0980 | Acc: 26.9% (7+ 19-) | Lifetime: 22.3%
Episode   129 | Steps:    4080 | Reward:   2.998 | Avg(100):   0.245 | Entropy: 0.0980 | Acc: 28.0% (7+ 18-) | Lifetime: 22.4%
Episode   130 | Steps:    4106 | Reward:   1.798 | Avg(100):   0.268 | Entropy: 0.0978 | Acc: 30.8% (8+ 18-) | Lifetime: 22.4%
Episode   131 | Steps:    4131 | Reward:   5.497 | Avg(100):   0.312 | Entropy: 0.0978 | Acc: 40.0% (10+ 15-) | Lifetime: 22.5%
Episode   132 | Steps:    4164 | Reward:   1.800 | Avg(100):   0.291 | Entropy: 0.0978 | Acc: 33.3% (11+ 22-) | Lifetime: 22.6%
Episode   133 | Steps:    4192 | Reward:   0.698 | Avg(100):   0.301 | Entropy: 0.0978 | Acc: 25.0% (7+ 21-) | Lifetime: 22.6%
Episode   134 | Steps:    4217 | Reward:   1.100 | Avg(100):   0.299 | Entropy: 0.0978 | Acc: 32.0% (8+ 17-) | Lifetime: 22.7%
Episode   135 | Steps:    4255 | Reward:  -1.303 | Avg(100):   0.304 | Entropy: 0.0978 | Acc: 13.2% (5+ 33-) | Lifetime: 22.6%
Episode   136 | Steps:    4284 | Reward:  -1.400 | Avg(100):   0.293 | Entropy: 0.0978 | Acc: 24.1% (7+ 22-) | Lifetime: 22.6%
Episode   137 | Steps:    4310 | Reward:   0.198 | Avg(100):   0.300 | Entropy: 0.0978 | Acc: 23.1% (6+ 20-) | Lifetime: 22.6%
Episode   138 | Steps:    4338 | Reward:   0.798 | Avg(100):   0.309 | Entropy: 0.0978 | Acc: 21.4% (6+ 22-) | Lifetime: 22.6%
Episode   139 | Steps:    4372 | Reward:  -0.802 | Avg(100):   0.308 | Entropy: 0.0977 | Acc: 20.6% (7+ 27-) | Lifetime: 22.6%
Episode   140 | Steps:    4402 | Reward:  -0.501 | Avg(100):   0.284 | Entropy: 0.0977 | Acc: 20.0% (6+ 24-) | Lifetime: 22.6%
Episode   141 | Steps:    4432 | Reward:   1.998 | Avg(100):   0.289 | Entropy: 0.0977 | Acc: 26.7% (8+ 22-) | Lifetime: 22.6%
Episode   142 | Steps:    4456 | Reward:   0.902 | Avg(100):   0.306 | Entropy: 0.0977 | Acc: 37.5% (9+ 15-) | Lifetime: 22.7%
Episode   143 | Steps:    4488 | Reward:  -0.202 | Avg(100):   0.312 | Entropy: 0.0977 | Acc: 18.8% (6+ 26-) | Lifetime: 22.7%
  [Step 4500] Action dist: A0:14% | A1:13% | A2:42% | A3:18% | A4:13%
Episode   144 | Steps:    4523 | Reward:  -1.904 | Avg(100):   0.318 | Entropy: 0.0977 | Acc: 11.4% (4+ 31-) | Lifetime: 22.6%
