
Training on cuda | logs -> training_logs/run_seed42_config9 (2)_fresh_20260527_040912
Config: ..\..\configs\config9 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    99 | Steps:    2765 | Reward:   0.599 | Avg(100):  -0.258 | Entropy: 0.0986 | Acc: 29.4% (5+ 12-) | Lifetime: 19.2%
Episode   100 | Steps:    2796 | Reward:   0.998 | Avg(100):  -0.258 | Entropy: 0.0986 | Acc: 23.3% (7+ 23-) | Lifetime: 19.2%
Episode   101 | Steps:    2826 | Reward:  -0.902 | Avg(100):  -0.285 | Entropy: 0.0985 | Acc: 16.7% (5+ 25-) | Lifetime: 19.2%
Episode   102 | Steps:    2848 | Reward:   1.799 | Avg(100):  -0.258 | Entropy: 0.0985 | Acc: 31.8% (7+ 15-) | Lifetime: 19.3%
Episode   103 | Steps:    2869 | Reward:   1.998 | Avg(100):  -0.200 | Entropy: 0.0985 | Acc: 33.3% (7+ 14-) | Lifetime: 19.4%
Episode   104 | Steps:    2898 | Reward:  -0.002 | Avg(100):  -0.183 | Entropy: 0.0985 | Acc: 17.9% (5+ 23-) | Lifetime: 19.4%
Episode   105 | Steps:    2926 | Reward:   0.798 | Avg(100):  -0.174 | Entropy: 0.0985 | Acc: 18.5% (5+ 22-) | Lifetime: 19.4%
Episode   106 | Steps:    2949 | Reward:   1.298 | Avg(100):  -0.174 | Entropy: 0.0984 | Acc: 26.1% (6+ 17-) | Lifetime: 19.4%
Episode   107 | Steps:    2980 | Reward:  -1.302 | Avg(100):  -0.164 | Entropy: 0.0984 | Acc: 16.7% (5+ 25-) | Lifetime: 19.4%
  [Step 3000] Action dist: A0:8% | A1:17% | A2:41% | A3:17% | A4:17%
Episode   108 | Steps:    3000 | Reward:   2.099 | Avg(100):  -0.110 | Entropy: 0.0984 | Acc: 35.0% (7+ 13-) | Lifetime: 19.5%
Episode   109 | Steps:    3018 | Reward:   3.399 | Avg(100):  -0.052 | Entropy: 0.0984 | Acc: 38.9% (7+ 11-) | Lifetime: 19.6%
Episode   110 | Steps:    3054 | Reward:  -1.303 | Avg(100):  -0.009 | Entropy: 0.0984 | Acc: 14.7% (5+ 29-) | Lifetime: 19.6%
Episode   111 | Steps:    3087 | Reward:   0.997 | Avg(100):  -0.015 | Entropy: 0.0984 | Acc: 21.2% (7+ 26-) | Lifetime: 19.6%
Episode   112 | Steps:    3112 | Reward:   0.197 | Avg(100):  -0.012 | Entropy: 0.0984 | Acc: 20.0% (5+ 20-) | Lifetime: 19.6%
Episode   113 | Steps:    3133 | Reward:   1.898 | Avg(100):   0.003 | Entropy: 0.0984 | Acc: 28.6% (6+ 15-) | Lifetime: 19.7%
Episode   114 | Steps:    3139 | Reward:  -0.100 | Avg(100):  -0.006 | Entropy: 0.0984 | Acc: 33.3% (2+ 4-) | Lifetime: 19.7%
Episode   115 | Steps:    3168 | Reward:  -0.403 | Avg(100):  -0.006 | Entropy: 0.0984 | Acc: 17.2% (5+ 24-) | Lifetime: 19.7%
Episode   116 | Steps:    3194 | Reward:   2.997 | Avg(100):   0.031 | Entropy: 0.0984 | Acc: 32.0% (8+ 17-) | Lifetime: 19.8%
Episode   117 | Steps:    3221 | Reward:  -1.303 | Avg(100):   0.014 | Entropy: 0.0983 | Acc: 14.8% (4+ 23-) | Lifetime: 19.7%
Episode   118 | Steps:    3237 | Reward:   2.000 | Avg(100):   0.025 | Entropy: 0.0983 | Acc: 43.8% (7+ 9-) | Lifetime: 19.8%
Episode   119 | Steps:    3265 | Reward:   0.399 | Avg(100):   0.068 | Entropy: 0.0983 | Acc: 21.4% (6+ 22-) | Lifetime: 19.9%
