
Training on cuda | logs -> training_logs/run_seed41_config3_resumed_20260523_013141
Config: ..\..\configs\config3.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode   110 | Steps:    3474 | Reward:   2.498 | Avg(100):   0.973 | Entropy: 0.0982 | Acc: 29.6% (8+ 19-) | Lifetime: 23.2%
Episode   111 | Steps:    3493 | Reward:   3.301 | Avg(100):   1.022 | Entropy: 0.0982 | Acc: 47.4% (9+ 10-) | Lifetime: 23.4%
  [Step 3500] Action dist: A0:10% | A1:10% | A2:38% | A3:32% | A4:10%
Episode   112 | Steps:    3526 | Reward:   1.297 | Avg(100):   1.004 | Entropy: 0.0982 | Acc: 18.2% (6+ 27-) | Lifetime: 23.3%
Episode   113 | Steps:    3558 | Reward:  -0.203 | Avg(100):   1.007 | Entropy: 0.0982 | Acc: 18.8% (6+ 26-) | Lifetime: 23.3%
Episode   114 | Steps:    3590 | Reward:  -0.003 | Avg(100):   1.046 | Entropy: 0.0981 | Acc: 15.6% (5+ 27-) | Lifetime: 23.2%
Episode   115 | Steps:    3616 | Reward:   3.097 | Avg(100):   1.074 | Entropy: 0.0981 | Acc: 30.8% (8+ 18-) | Lifetime: 23.3%
Episode   116 | Steps:    3647 | Reward:   0.597 | Avg(100):   1.075 | Entropy: 0.0981 | Acc: 19.4% (6+ 25-) | Lifetime: 23.2%
Episode   117 | Steps:    3672 | Reward:   3.297 | Avg(100):   1.116 | Entropy: 0.0981 | Acc: 32.0% (8+ 17-) | Lifetime: 23.3%
Episode   118 | Steps:    3701 | Reward:  -0.903 | Avg(100):   1.106 | Entropy: 0.0981 | Acc: 13.8% (4+ 25-) | Lifetime: 23.2%
Episode   119 | Steps:    3727 | Reward:   1.498 | Avg(100):   1.169 | Entropy: 0.0981 | Acc: 26.9% (7+ 19-) | Lifetime: 23.2%
Episode   120 | Steps:    3756 | Reward:   1.398 | Avg(100):   1.159 | Entropy: 0.0981 | Acc: 24.1% (7+ 22-) | Lifetime: 23.2%
Episode   121 | Steps:    3782 | Reward:   2.098 | Avg(100):   1.218 | Entropy: 0.0981 | Acc: 26.9% (7+ 19-) | Lifetime: 23.3%
Episode   122 | Steps:    3814 | Reward:   0.298 | Avg(100):   1.194 | Entropy: 0.0981 | Acc: 21.9% (7+ 25-) | Lifetime: 23.3%
Episode   123 | Steps:    3842 | Reward:   0.498 | Avg(100):   1.191 | Entropy: 0.0980 | Acc: 25.0% (7+ 21-) | Lifetime: 23.3%
Episode   124 | Steps:    3862 | Reward:   3.998 | Avg(100):   1.227 | Entropy: 0.0980 | Acc: 40.0% (8+ 12-) | Lifetime: 23.3%
Episode   125 | Steps:    3892 | Reward:  -0.002 | Avg(100):   1.212 | Entropy: 0.0980 | Acc: 20.0% (6+ 24-) | Lifetime: 23.3%
Episode   126 | Steps:    3918 | Reward:   3.897 | Avg(100):   1.236 | Entropy: 0.0980 | Acc: 26.9% (7+ 19-) | Lifetime: 23.3%
Episode   127 | Steps:    3941 | Reward:   2.198 | Avg(100):   1.279 | Entropy: 0.0980 | Acc: 30.4% (7+ 16-) | Lifetime: 23.4%
Episode   128 | Steps:    3965 | Reward:   2.399 | Avg(100):   1.291 | Entropy: 0.0980 | Acc: 29.2% (7+ 17-) | Lifetime: 23.4%
