
Training on cuda | logs -> training_logs/run_seed42_config4 (2)_fresh_20260529_231709
Config: ..\..\configs\config4 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode   112 | Steps:    2940 | Reward:   1.799 | Avg(100):  -0.243 | Entropy: 0.0985 | Acc: 33.3% (8+ 16-) | Lifetime: 23.2%
Episode   113 | Steps:    2962 | Reward:   0.299 | Avg(100):  -0.266 | Entropy: 0.0985 | Acc: 27.3% (6+ 16-) | Lifetime: 23.2%
Episode   114 | Steps:    2990 | Reward:  -1.602 | Avg(100):  -0.268 | Entropy: 0.0985 | Acc: 17.9% (5+ 23-) | Lifetime: 23.2%
  [Step 3000] Action dist: A0:13% | A1:10% | A2:40% | A3:20% | A4:18%
Episode   115 | Steps:    3021 | Reward:  -0.802 | Avg(100):  -0.270 | Entropy: 0.0985 | Acc: 22.6% (7+ 24-) | Lifetime: 23.2%
Episode   116 | Steps:    3053 | Reward:  -2.402 | Avg(100):  -0.206 | Entropy: 0.0985 | Acc: 15.6% (5+ 27-) | Lifetime: 23.1%
Episode   117 | Steps:    3079 | Reward:   0.198 | Avg(100):  -0.208 | Entropy: 0.0984 | Acc: 26.9% (7+ 19-) | Lifetime: 23.1%
Episode   118 | Steps:    3107 | Reward:  -2.102 | Avg(100):  -0.217 | Entropy: 0.0984 | Acc: 17.9% (5+ 23-) | Lifetime: 23.1%
Episode   119 | Steps:    3131 | Reward:   1.598 | Avg(100):  -0.171 | Entropy: 0.0984 | Acc: 29.2% (7+ 17-) | Lifetime: 23.1%
Episode   120 | Steps:    3150 | Reward:   2.399 | Avg(100):  -0.119 | Entropy: 0.0984 | Acc: 31.6% (6+ 13-) | Lifetime: 23.2%
Episode   121 | Steps:    3163 | Reward:   1.900 | Avg(100):  -0.132 | Entropy: 0.0984 | Acc: 38.5% (5+ 8-) | Lifetime: 23.2%
Episode   122 | Steps:    3188 | Reward:  -1.801 | Avg(100):  -0.176 | Entropy: 0.0984 | Acc: 24.0% (6+ 19-) | Lifetime: 23.3%
Episode   123 | Steps:    3205 | Reward:   2.699 | Avg(100):  -0.073 | Entropy: 0.0984 | Acc: 43.8% (7+ 9-) | Lifetime: 23.4%
Episode   124 | Steps:    3227 | Reward:   0.699 | Avg(100):  -0.076 | Entropy: 0.0984 | Acc: 30.0% (6+ 14-) | Lifetime: 23.4%
Episode   125 | Steps:    3244 | Reward:   2.998 | Avg(100):  -0.067 | Entropy: 0.0984 | Acc: 41.2% (7+ 10-) | Lifetime: 23.5%
