
Training on cuda | logs -> training_logs/run_seed43_config4 (3)_resumed_20260523_014829
Config: ..\..\configs\config4 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    58 | Steps:    1980 | Reward:   4.396 | Avg(100):   0.206 | Entropy: 0.0990 | Acc: 23.3% (10+ 33-) | Lifetime: 20.3%
  [Step 2000] Action dist: A0:9% | A1:16% | A2:25% | A3:28% | A4:22%
Episode    59 | Steps:    2019 | Reward:  -1.903 | Avg(100):   0.171 | Entropy: 0.0990 | Acc: 12.8% (5+ 34-) | Lifetime: 20.1%
Episode    60 | Steps:    2059 | Reward:  -0.704 | Avg(100):   0.156 | Entropy: 0.0989 | Acc: 12.5% (5+ 35-) | Lifetime: 20.0%
Episode    61 | Steps:    2087 | Reward:   0.199 | Avg(100):   0.157 | Entropy: 0.0989 | Acc: 25.0% (7+ 21-) | Lifetime: 20.1%
Episode    62 | Steps:    2119 | Reward:  -0.902 | Avg(100):   0.140 | Entropy: 0.0989 | Acc: 18.8% (6+ 26-) | Lifetime: 20.0%
Episode    63 | Steps:    2158 | Reward:  -1.503 | Avg(100):   0.115 | Entropy: 0.0989 | Acc: 10.3% (4+ 35-) | Lifetime: 19.9%
Episode    64 | Steps:    2199 | Reward:  -1.304 | Avg(100):   0.093 | Entropy: 0.0989 | Acc: 12.2% (5+ 36-) | Lifetime: 19.7%
Episode    65 | Steps:    2229 | Reward:   2.797 | Avg(100):   0.134 | Entropy: 0.0989 | Acc: 26.7% (8+ 22-) | Lifetime: 19.8%
Episode    66 | Steps:    2273 | Reward:  -4.303 | Avg(100):   0.068 | Entropy: 0.0989 | Acc: 9.1% (4+ 40-) | Lifetime: 19.6%
Episode    67 | Steps:    2306 | Reward:  -1.303 | Avg(100):   0.047 | Entropy: 0.0988 | Acc: 15.2% (5+ 28-) | Lifetime: 19.5%
Episode    68 | Steps:    2333 | Reward:  -0.503 | Avg(100):   0.039 | Entropy: 0.0988 | Acc: 18.5% (5+ 22-) | Lifetime: 19.5%
Episode    69 | Steps:    2369 | Reward:   0.396 | Avg(100):   0.044 | Entropy: 0.0988 | Acc: 13.9% (5+ 31-) | Lifetime: 19.5%
Episode    70 | Steps:    2407 | Reward:  -2.704 | Avg(100):   0.006 | Entropy: 0.0988 | Acc: 7.9% (3+ 35-) | Lifetime: 19.3%
Episode    71 | Steps:    2441 | Reward:  -0.503 | Avg(100):  -0.001 | Entropy: 0.0988 | Acc: 14.7% (5+ 29-) | Lifetime: 19.2%
Episode    72 | Steps:    2471 | Reward:  -0.302 | Avg(100):  -0.005 | Entropy: 0.0988 | Acc: 16.7% (5+ 25-) | Lifetime: 19.2%
Episode    73 | Steps:    2486 | Reward:  -0.401 | Avg(100):  -0.011 | Entropy: 0.0988 | Acc: 20.0% (3+ 12-) | Lifetime: 19.2%
  [Step 2500] Action dist: A0:8% | A1:17% | A2:29% | A3:29% | A4:17%
Episode    74 | Steps:    2524 | Reward:  -3.104 | Avg(100):  -0.052 | Entropy: 0.0988 | Acc: 10.5% (4+ 34-) | Lifetime: 19.0%
Episode    75 | Steps:    2552 | Reward:   2.697 | Avg(100):  -0.016 | Entropy: 0.0988 | Acc: 21.4% (6+ 22-) | Lifetime: 19.1%
Episode    76 | Steps:    2585 | Reward:   2.197 | Avg(100):   0.013 | Entropy: 0.0986 | Acc: 24.2% (8+ 25-) | Lifetime: 19.1%
Episode    77 | Steps:    2617 | Reward:  -0.802 | Avg(100):   0.002 | Entropy: 0.0986 | Acc: 18.8% (6+ 26-) | Lifetime: 19.1%
Episode    78 | Steps:    2646 | Reward:   3.998 | Avg(100):   0.053 | Entropy: 0.0986 | Acc: 31.0% (9+ 20-) | Lifetime: 19.3%
Episode    79 | Steps:    2674 | Reward:  -1.403 | Avg(100):   0.035 | Entropy: 0.0986 | Acc: 10.7% (3+ 25-) | Lifetime: 19.2%
Episode    80 | Steps:    2706 | Reward:   1.097 | Avg(100):   0.048 | Entropy: 0.0986 | Acc: 25.0% (8+ 24-) | Lifetime: 19.2%
Episode    81 | Steps:    2736 | Reward:   0.997 | Avg(100):   0.060 | Entropy: 0.0986 | Acc: 23.3% (7+ 23-) | Lifetime: 19.3%
Episode    82 | Steps:    2765 | Reward:  -0.803 | Avg(100):   0.049 | Entropy: 0.0986 | Acc: 13.8% (4+ 25-) | Lifetime: 19.2%
Episode    83 | Steps:    2806 | Reward:  -2.602 | Avg(100):   0.018 | Entropy: 0.0986 | Acc: 14.6% (6+ 35-) | Lifetime: 19.2%
Episode    84 | Steps:    2828 | Reward:   3.899 | Avg(100):   0.063 | Entropy: 0.0985 | Acc: 40.9% (9+ 13-) | Lifetime: 19.3%
Episode    85 | Steps:    2856 | Reward:   4.197 | Avg(100):   0.111 | Entropy: 0.0985 | Acc: 28.6% (8+ 20-) | Lifetime: 19.4%
Episode    86 | Steps:    2881 | Reward:   2.697 | Avg(100):   0.141 | Entropy: 0.0985 | Acc: 32.0% (8+ 17-) | Lifetime: 19.5%
Episode    87 | Steps:    2905 | Reward:   1.000 | Avg(100):   0.151 | Entropy: 0.0985 | Acc: 37.5% (9+ 15-) | Lifetime: 19.7%
Episode    88 | Steps:    2931 | Reward:  -1.302 | Avg(100):   0.134 | Entropy: 0.0985 | Acc: 15.4% (4+ 22-) | Lifetime: 19.6%
Episode    89 | Steps:    2965 | Reward:   0.897 | Avg(100):   0.143 | Entropy: 0.0985 | Acc: 17.6% (6+ 28-) | Lifetime: 19.6%
Episode    90 | Steps:    2999 | Reward:   1.197 | Avg(100):   0.155 | Entropy: 0.0985 | Acc: 20.6% (7+ 27-) | Lifetime: 19.6%
  [Step 3000] Action dist: A0:11% | A1:12% | A2:35% | A3:23% | A4:19%
Episode    91 | Steps:    3022 | Reward:   1.498 | Avg(100):   0.169 | Entropy: 0.0985 | Acc: 21.7% (5+ 18-) | Lifetime: 19.6%
Episode    92 | Steps:    3045 | Reward:   2.299 | Avg(100):   0.192 | Entropy: 0.0985 | Acc: 34.8% (8+ 15-) | Lifetime: 19.8%
Episode    93 | Steps:    3078 | Reward:  -0.603 | Avg(100):   0.184 | Entropy: 0.0984 | Acc: 15.2% (5+ 28-) | Lifetime: 19.7%
Episode    94 | Steps:    3103 | Reward:   3.599 | Avg(100):   0.220 | Entropy: 0.0984 | Acc: 40.0% (10+ 15-) | Lifetime: 19.9%
Episode    95 | Steps:    3133 | Reward:  -0.002 | Avg(100):   0.217 | Entropy: 0.0984 | Acc: 20.0% (6+ 24-) | Lifetime: 19.9%
Episode    96 | Steps:    3149 | Reward:  -1.201 | Avg(100):   0.203 | Entropy: 0.0984 | Acc: 12.5% (2+ 14-) | Lifetime: 19.8%
Episode    97 | Steps:    3173 | Reward:   1.700 | Avg(100):   0.218 | Entropy: 0.0984 | Acc: 37.5% (9+ 15-) | Lifetime: 20.0%
Episode    98 | Steps:    3199 | Reward:  -0.101 | Avg(100):   0.215 | Entropy: 0.0984 | Acc: 23.1% (6+ 20-) | Lifetime: 20.0%
Episode    99 | Steps:    3224 | Reward:   1.498 | Avg(100):   0.228 | Entropy: 0.0984 | Acc: 28.0% (7+ 18-) | Lifetime: 20.1%
Episode   100 | Steps:    3251 | Reward:   1.098 | Avg(100):   0.223 | Entropy: 0.0984 | Acc: 22.2% (6+ 21-) | Lifetime: 20.1%
Episode   101 | Steps:    3279 | Reward:   0.697 | Avg(100):   0.210 | Entropy: 0.0984 | Acc: 25.0% (7+ 21-) | Lifetime: 20.1%
Episode   102 | Steps:    3318 | Reward:  -3.803 | Avg(100):   0.191 | Entropy: 0.0984 | Acc: 10.3% (4+ 35-) | Lifetime: 20.0%
Episode   103 | Steps:    3341 | Reward:   4.698 | Avg(100):   0.237 | Entropy: 0.0982 | Acc: 39.1% (9+ 14-) | Lifetime: 20.1%
Episode   104 | Steps:    3371 | Reward:  -2.501 | Avg(100):   0.180 | Entropy: 0.0982 | Acc: 16.7% (5+ 25-) | Lifetime: 20.1%
Episode   105 | Steps:    3394 | Reward:   1.000 | Avg(100):   0.191 | Entropy: 0.0982 | Acc: 30.4% (7+ 16-) | Lifetime: 20.2%
Episode   106 | Steps:    3423 | Reward:   3.597 | Avg(100):   0.232 | Entropy: 0.0982 | Acc: 31.0% (9+ 20-) | Lifetime: 20.3%
Episode   107 | Steps:    3447 | Reward:   3.299 | Avg(100):   0.281 | Entropy: 0.0982 | Acc: 33.3% (8+ 16-) | Lifetime: 20.4%
Episode   108 | Steps:    3461 | Reward:   0.099 | Avg(100):   0.313 | Entropy: 0.0982 | Acc: 21.4% (3+ 11-) | Lifetime: 20.4%
Episode   109 | Steps:    3480 | Reward:   3.300 | Avg(100):   0.356 | Entropy: 0.0982 | Acc: 42.1% (8+ 11-) | Lifetime: 20.5%
  [Step 3500] Action dist: A0:9% | A1:12% | A2:39% | A3:24% | A4:17%
Episode   110 | Steps:    3514 | Reward:  -0.402 | Avg(100):   0.358 | Entropy: 0.0982 | Acc: 17.6% (6+ 28-) | Lifetime: 20.5%
Episode   111 | Steps:    3547 | Reward:   3.497 | Avg(100):   0.406 | Entropy: 0.0982 | Acc: 27.3% (9+ 24-) | Lifetime: 20.5%
Episode   112 | Steps:    3576 | Reward:   4.197 | Avg(100):   0.449 | Entropy: 0.0982 | Acc: 31.0% (9+ 20-) | Lifetime: 20.6%
Episode   113 | Steps:    3604 | Reward:   0.298 | Avg(100):   0.501 | Entropy: 0.0981 | Acc: 21.4% (6+ 22-) | Lifetime: 20.6%
Episode   114 | Steps:    3640 | Reward:  -0.101 | Avg(100):   0.485 | Entropy: 0.0981 | Acc: 22.2% (8+ 28-) | Lifetime: 20.6%
Episode   115 | Steps:    3661 | Reward:   5.098 | Avg(100):   0.547 | Entropy: 0.0981 | Acc: 42.9% (9+ 12-) | Lifetime: 20.8%
Episode   116 | Steps:    3689 | Reward:  -0.302 | Avg(100):   0.537 | Entropy: 0.0981 | Acc: 25.0% (7+ 21-) | Lifetime: 20.8%
Episode   117 | Steps:    3720 | Reward:  -1.602 | Avg(100):   0.534 | Entropy: 0.0981 | Acc: 16.1% (5+ 26-) | Lifetime: 20.7%
Episode   118 | Steps:    3752 | Reward:  -0.903 | Avg(100):   0.519 | Entropy: 0.0981 | Acc: 12.5% (4+ 28-) | Lifetime: 20.7%
Episode   119 | Steps:    3782 | Reward:   2.099 | Avg(100):   0.518 | Entropy: 0.0981 | Acc: 30.0% (9+ 21-) | Lifetime: 20.8%
Episode   120 | Steps:    3807 | Reward:   1.797 | Avg(100):   0.543 | Entropy: 0.0981 | Acc: 24.0% (6+ 19-) | Lifetime: 20.8%
Episode   121 | Steps:    3834 | Reward:   1.698 | Avg(100):   0.554 | Entropy: 0.0981 | Acc: 25.9% (7+ 20-) | Lifetime: 20.8%
Episode   122 | Steps:    3864 | Reward:   1.297 | Avg(100):   0.543 | Entropy: 0.0980 | Acc: 20.0% (6+ 24-) | Lifetime: 20.8%
Episode   123 | Steps:    3891 | Reward:   1.798 | Avg(100):   0.554 | Entropy: 0.0980 | Acc: 33.3% (9+ 18-) | Lifetime: 20.9%
Episode   124 | Steps:    3927 | Reward:   0.797 | Avg(100):   0.575 | Entropy: 0.0980 | Acc: 25.0% (9+ 27-) | Lifetime: 20.9%
Episode   125 | Steps:    3952 | Reward:   2.598 | Avg(100):   0.622 | Entropy: 0.0980 | Acc: 32.0% (8+ 17-) | Lifetime: 21.0%
Episode   126 | Steps:    3983 | Reward:   0.298 | Avg(100):   0.617 | Entropy: 0.0980 | Acc: 22.6% (7+ 24-) | Lifetime: 21.0%
  [Step 4000] Action dist: A0:11% | A1:10% | A2:45% | A3:16% | A4:18%
Episode   127 | Steps:    4015 | Reward:   0.597 | Avg(100):   0.616 | Entropy: 0.0980 | Acc: 25.0% (8+ 24-) | Lifetime: 21.0%
Episode   128 | Steps:    4040 | Reward:  -0.303 | Avg(100):   0.623 | Entropy: 0.0980 | Acc: 20.0% (5+ 20-) | Lifetime: 21.0%
Episode   129 | Steps:    4074 | Reward:  -1.203 | Avg(100):   0.594 | Entropy: 0.0980 | Acc: 14.7% (5+ 29-) | Lifetime: 21.0%
Episode   130 | Steps:    4098 | Reward:   1.699 | Avg(100):   0.607 | Entropy: 0.0978 | Acc: 29.2% (7+ 17-) | Lifetime: 21.0%
Episode   131 | Steps:    4122 | Reward:   2.599 | Avg(100):   0.634 | Entropy: 0.0978 | Acc: 37.5% (9+ 15-) | Lifetime: 21.1%
Episode   132 | Steps:    4152 | Reward:   1.097 | Avg(100):   0.647 | Entropy: 0.0978 | Acc: 23.3% (7+ 23-) | Lifetime: 21.1%
Episode   133 | Steps:    4184 | Reward:   1.797 | Avg(100):   0.643 | Entropy: 0.0978 | Acc: 21.9% (7+ 25-) | Lifetime: 21.1%
Episode   134 | Steps:    4217 | Reward:  -0.703 | Avg(100):   0.645 | Entropy: 0.0978 | Acc: 18.2% (6+ 27-) | Lifetime: 21.1%
Episode   135 | Steps:    4243 | Reward:   2.997 | Avg(100):   0.653 | Entropy: 0.0978 | Acc: 30.8% (8+ 18-) | Lifetime: 21.2%
Episode   136 | Steps:    4276 | Reward:  -3.102 | Avg(100):   0.612 | Entropy: 0.0978 | Acc: 12.1% (4+ 29-) | Lifetime: 21.1%
Episode   137 | Steps:    4298 | Reward:   2.000 | Avg(100):   0.622 | Entropy: 0.0978 | Acc: 40.9% (9+ 13-) | Lifetime: 21.2%
Episode   138 | Steps:    4323 | Reward:   1.498 | Avg(100):   0.656 | Entropy: 0.0978 | Acc: 24.0% (6+ 19-) | Lifetime: 21.2%
Episode   139 | Steps:    4349 | Reward:   0.598 | Avg(100):   0.644 | Entropy: 0.0978 | Acc: 26.9% (7+ 19-) | Lifetime: 21.3%
Episode   140 | Steps:    4376 | Reward:   3.098 | Avg(100):   0.659 | Entropy: 0.0977 | Acc: 29.6% (8+ 19-) | Lifetime: 21.3%
Episode   141 | Steps:    4401 | Reward:   1.700 | Avg(100):   0.626 | Entropy: 0.0977 | Acc: 36.0% (9+ 16-) | Lifetime: 21.4%
Episode   142 | Steps:    4429 | Reward:   3.897 | Avg(100):   0.665 | Entropy: 0.0977 | Acc: 32.1% (9+ 19-) | Lifetime: 21.5%
Episode   143 | Steps:    4458 | Reward:  -0.401 | Avg(100):   0.676 | Entropy: 0.0977 | Acc: 27.6% (8+ 21-) | Lifetime: 21.5%
Episode   144 | Steps:    4499 | Reward:  -2.303 | Avg(100):   0.633 | Entropy: 0.0977 | Acc: 17.1% (7+ 34-) | Lifetime: 21.5%
  [Step 4500] Action dist: A0:9% | A1:10% | A2:40% | A3:19% | A4:22%
Episode   145 | Steps:    4535 | Reward:  -1.502 | Avg(100):   0.607 | Entropy: 0.0977 | Acc: 19.4% (7+ 29-) | Lifetime: 21.5%
Episode   146 | Steps:    4570 | Reward:  -1.203 | Avg(100):   0.571 | Entropy: 0.0977 | Acc: 20.0% (7+ 28-) | Lifetime: 21.4%
Episode   147 | Steps:    4594 | Reward:   1.699 | Avg(100):   0.573 | Entropy: 0.0977 | Acc: 29.2% (7+ 17-) | Lifetime: 21.5%
Episode   148 | Steps:    4627 | Reward:   0.197 | Avg(100):   0.590 | Entropy: 0.0975 | Acc: 21.2% (7+ 26-) | Lifetime: 21.5%
Episode   149 | Steps:    4652 | Reward:   0.497 | Avg(100):   0.608 | Entropy: 0.0975 | Acc: 24.0% (6+ 19-) | Lifetime: 21.5%
Episode   150 | Steps:    4680 | Reward:   0.597 | Avg(100):   0.607 | Entropy: 0.0975 | Acc: 21.4% (6+ 22-) | Lifetime: 21.5%
Episode   151 | Steps:    4713 | Reward:  -1.402 | Avg(100):   0.597 | Entropy: 0.0975 | Acc: 18.2% (6+ 27-) | Lifetime: 21.5%
Episode   152 | Steps:    4738 | Reward:   3.299 | Avg(100):   0.646 | Entropy: 0.0975 | Acc: 40.0% (10+ 15-) | Lifetime: 21.6%
Episode   153 | Steps:    4764 | Reward:   3.598 | Avg(100):   0.684 | Entropy: 0.0975 | Acc: 34.6% (9+ 17-) | Lifetime: 21.6%
Episode   154 | Steps:    4804 | Reward:   1.896 | Avg(100):   0.733 | Entropy: 0.0975 | Acc: 22.5% (9+ 31-) | Lifetime: 21.6%
Episode   155 | Steps:    4841 | Reward:  -0.403 | Avg(100):   0.715 | Entropy: 0.0975 | Acc: 16.2% (6+ 31-) | Lifetime: 21.6%
Episode   156 | Steps:    4872 | Reward:  -0.802 | Avg(100):   0.736 | Entropy: 0.0974 | Acc: 22.6% (7+ 24-) | Lifetime: 21.6%
Episode   157 | Steps:    4899 | Reward:   3.699 | Avg(100):   0.744 | Entropy: 0.0974 | Acc: 37.0% (10+ 17-) | Lifetime: 21.7%
Episode   158 | Steps:    4912 | Reward:  -1.301 | Avg(100):   0.687 | Entropy: 0.0974 | Acc: 7.7% (1+ 12-) | Lifetime: 21.7%
Episode   159 | Steps:    4937 | Reward:   1.499 | Avg(100):   0.721 | Entropy: 0.0974 | Acc: 28.0% (7+ 18-) | Lifetime: 21.7%
Episode   160 | Steps:    4960 | Reward:   1.698 | Avg(100):   0.745 | Entropy: 0.0974 | Acc: 34.8% (8+ 15-) | Lifetime: 21.7%
